type	id	chrom	strand	Up-stream Exon	Cassette Exon	Down-stream Exon	4th Exon	Transcrtip IDs	Region
CAS	chr1:-:C8B:CAS:0	chr1	-	57425693:57425849	57425202:57425330	57422442:57422583	N/A	NM_000066,NM_001278544;NM_001278543,NM_001278544	chr1:57422442-57425849
CAS	chr1:-:C8B:CAS:1	chr1	-	57431530:57431813	57429445:57429666	57425693:57425849	N/A	NM_000066,NM_001278543;NM_001278544,NM_001278543	chr1:57425693-57431813
CAS	chr1:+:CACHD1:CAS:0	chr1	+	65095038:65095164	65098282:65098426	65099727:65099943	N/A	NM_001293274,NM_020925	chr1:65095038-65099943
CAS	chr1:+:CACNA1E:CAS:0	chr1	+	181695201:181695298	181700311:181700367	181701520:181702170	N/A	NM_001205294,NM_000721;NM_001205294,NM_001205293	chr1:181695201-181702170
CAS	chr1:+:CACNA1E:CAS:1	chr1	+	181759581:181759692	181762801:181762929	181764000:181764180	N/A	NM_000721,NM_001205293;NM_001205294,NM_001205293	chr1:181759581-181764180
CAS	chr1:+:CAMTA1:CAS:0	chr1	+	6845384:6845635	6880241:6880310	6885152:6885270	N/A	NR_038934,NM_001195563;NR_038934,NM_001242701;NR_038934,NM_015215	chr1:6845384-6885270
CAS	chr1:+:CAPN9:CAS:0	chr1	+	230907760:230907845	230910300:230910377	230914719:230914879	N/A	NM_016452,NM_006615	chr1:230907760-230914879
A5SS	chr1:-:CASP9:A5SS:0	chr1	-	15844745:15844890	15844605:15844890	15834368:15834402	N/A	NR_102733,NM_001229;NR_102733,NM_032996;NR_102733,NR_102732	chr1:15834368-15844890
A3SS	chr1:-:CASP9:A3SS:0	chr1	-	15834368:15834402	15833394:15833628	15833394:15833570	N/A	NM_001229,NR_102732;NM_032996,NR_102732;NR_102733,NR_102732	chr1:15833394-15834402
AFE	chr1:-:CASP9:AFE:0	chr1	-	15851078:15851285	15850564:15850940	15844605:15844890	N/A	NM_032996,NM_001229;NM_032996,NM_001278054;NM_032996,NR_102732	chr1:15844605-15851285
CAS	chr1:-:CCBL2:CAS:0	chr1	-	89458268:89458643	89453935:89454034	89435092:89435150	N/A	NM_001008662,NM_001008661	chr1:89435092-89458643
CAS	chr1:-:CCDC163P:CAS:0	chr1	-	45962228:45962295	45961090:45961217	45959598:45960838	N/A	NR_033296,NR_033297;NR_033296,NR_033298	chr1:45959598-45962295
CAS	chr1:-:CCDC163P:CAS:1	chr1	-	45965017:45965115	45962971:45963055	45962228:45962295	N/A	NR_033297,NR_033296;NR_033297,NR_033298	chr1:45962228-45965115
CAS	chr1:+:CD55:CAS:0	chr1	+	207512742:207512762	207513736:207513853	207532891:207534311	N/A	NM_000574,NM_001114752	chr1:207512742-207534311
CAS	chr1:-:CD84:CAS:0	chr1	-	160549182:160549306	160535194:160535535	160523685:160523936	N/A	NM_001184882,NM_001184879;NM_001184882,NM_001184881;NM_001184882,NM_003874	chr1:160523685-160549306
CAS	chr1:+:CDC42:CAS:0	chr1	+	22379120:22379235	22400587:22400712	22404922:22405076	N/A	NM_001791,NM_001039802;NM_044472,NM_001039802	chr1:22379120-22405076
CAS	chr1:-:CDC42BPA:CAS:0	chr1	-	227307505:227307638	227300372:227300614	227300013:227300123	N/A	NM_014826,NM_003607	chr1:227300013-227307638
CAS	chr1:-:CDC42SE1:CAS:0	chr1	-	151031955:151032125	151029127:151029262	151028153:151028469	N/A	NM_020239,NM_001038707	chr1:151028153-151032125
CAS	chr1:-:CDK11B:CAS:0	chr1	-	1654147:1654271	1654027:1654073	1653035:1653150	N/A	NM_001291345,NM_033489;NM_001787,NM_033489;NM_033486,NM_033489;NM_033487,NM_033489;NM_033490,NM_033489	chr1:1653035-1654271
CAS	chr1:-:CELF3:CAS:0	chr1	-	151679983:151680124	151679621:151679770	151679145:151679210	N/A	NM_001172649,NM_001172648;NM_001172649,NM_001291106;NM_001172649,NM_001291107;NM_001172649,NM_007185	chr1:151679145-151680124
CAS	chr1:-:CENPL:CAS:0	chr1	-	173776405:173776656	173775577:173775714	173772101:173772643	N/A	NM_001171182,NM_001127181;NM_033319,NM_001127181	chr1:173772101-173776656
CAS	chr1:-:CEP170:CAS:0	chr1	-	243349561:243349724	243349081:243349374	243335999:243336148	N/A	NM_001042404,NM_014812;NM_001042405,NM_014812	chr1:243335999-243349724
CAS	chr1:+:CFHR3:CAS:0	chr1	+	196748927:196749103	196757346:196757528	196759175:196759357	N/A	NM_001166624,NM_021023	chr1:196748927-196759357
CAS	chr1:+:CLCA4:CAS:0	chr1	+	87025894:87026041	87029344:87029452	87030957:87031134	N/A	NR_024602,NM_012128	chr1:87025894-87031134
CAS	chr1:+:CLCN6:CAS:0	chr1	+	11867188:11867247	11875903:11875968	11876672:11876737	N/A	NM_001256959,NM_001286;NM_001256959,NR_046428	chr1:11867188-11876737
CAS	chr1:+:CLCNKA:CAS:0	chr1	+	16350295:16350423	16351258:16351386	16352603:16352742	N/A	NM_001257139,NM_001042704;NM_001257139,NM_004070	chr1:16350295-16352742
CAS	chr1:-:CLSPN:CAS:0	chr1	-	36225943:36226517	36219346:36219537	36216851:36217107	N/A	NM_001190481,NM_022111	chr1:36216851-36226517
CAS	chr1:-:CLSTN1:CAS:0	chr1	-	9833330:9833452	9816539:9816568	9815172:9815367	N/A	NM_014944,NM_001009566	chr1:9815172-9833452
CAS	chr1:-:CNN3:CAS:0	chr1	-	95368678:95368744	95367677:95367814	95367225:95367341	N/A	NM_001286055,NM_001286056;NM_001286055,NM_001839	chr1:95367225-95368744
CAS	chr1:+:CR2:CAS:0	chr1	+	207646117:207646524	207646890:207647066	207647146:207647230	N/A	NM_001877,NM_001006658	chr1:207646117-207647230
CAS	chr1:-:CRYZ:CAS:0	chr1	-	75175782:75175931	75172787:75172888	75172583:75172678	N/A	NM_001130043,NM_001130042;NM_001130043,NM_001134759;NM_001130043,NM_001889	chr1:75172583-75175931
CAS	chr1:-:CRYZ:CAS:1	chr1	-	75188802:75188954	75184893:75185056	75180263:75180314	N/A	NM_001134759,NM_001130042;NM_001134759,NM_001130043;NM_001134759,NM_001889	chr1:75180263-75188954
CAS	chr1:-:CSDE1:CAS:0	chr1	-	115280584:115280693	115280092:115280184	115279379:115279476	N/A	NM_001130523,NM_001007553;NM_001130523,NM_001242891;NM_001130523,NM_001242892;NM_001242893,NM_001007553;NM_001242893,NM_001242891;NM_001242893,NM_001242892;NM_007158,NM_001007553;NM_007158,NM_001242891;NM_007158,NM_001242892	chr1:115279379-115280693
CAS	chr1:-:CSMD2:CAS:0	chr1	-	34076641:34076850	34071463:34071588	34070882:34071070	N/A	NM_001281956,NM_052896	chr1:34070882-34076850
CAS	chr1:+:CTH:CAS:0	chr1	+	70881639:70881720	70883620:70883715	70887249:70887358	N/A	NM_001190463,NM_001902;NM_001190463,NM_153742	chr1:70881639-70887358
CAS	chr1:+:CTH:CAS:1	chr1	+	70887249:70887358	70889968:70890099	70895477:70895534	N/A	NM_153742,NM_001190463;NM_153742,NM_001902	chr1:70887249-70895534
CAS	chr1:-:CTNNBIP1:CAS:0	chr1	-	9970153:9970316	9943763:9943796	9937963:9938047	N/A	NM_001012329,NM_020248	chr1:9937963-9970316
CAS	chr1:+:CTSE:CAS:0	chr1	+	206327474:206327596	206328719:206328860	206328962:206329060	N/A	NM_148964,NM_001910	chr1:206327474-206329060
CAS	chr1:-:CTSS:CAS:0	chr1	-	150730334:150730456	150727477:150727626	150724257:150724484	N/A	NM_001199739,NM_004079	chr1:150724257-150730456
CAS	chr1:+:DCAF6:CAS:0	chr1	+	167921038:167921099	167935867:167935959	167944068:167944253	N/A	NM_001198957,NM_001017977;NM_001198957,NM_001198956;NM_001198957,NM_018442	chr1:167921038-167944253
CAS	chr1:+:DCAF6:CAS:1	chr1	+	168014138:168014465	168020130:168020171	168032859:168032997	N/A	NM_001017977,NM_001198956;NM_001017977,NM_001198957;NM_018442,NM_001198956;NM_018442,NM_001198957	chr1:168014138-168032997
CAS	chr1:+:DCST1:CAS:0	chr1	+	155006911:155007036	155007129:155007203	155011879:155012007	N/A	NM_001143687,NM_152494	chr1:155006911-155012007
CAS	chr1:+:DDR2:CAS:0	chr1	+	162625001:162625164	162674842:162674921	162688827:162688935	N/A	NM_006182,NM_001014796	chr1:162625001-162688935
CAS	chr1:-:DENND2C:CAS:0	chr1	-	115165608:115165720	115164516:115164686	115161007:115161103	N/A	NM_198459,NM_001256404	chr1:115161007-115165720
CAS	chr1:-:DEPDC1:CAS:0	chr1	-	68949633:68949773	68947729:68948580	68947123:68947295	N/A	NM_017779,NM_001114120	chr1:68947123-68949773
CAS	chr1:+:DHX9:CAS:0	chr1	+	182823165:182823313	182824712:182824848	182825667:182825713	N/A	NM_001357,NR_033302	chr1:182823165-182825713
CAS	chr1:+:DNAJC16:CAS:0	chr1	+	15853308:15853453	15855583:15855767	15860732:15860798	N/A	NM_001287811,NM_015291;NM_001287811,NR_109898	chr1:15853308-15860798
CAS	chr1:+:DPH2:CAS:0	chr1	+	44436638:44436861	44437059:44437742	44437830:44438006	N/A	NM_001039589,NM_001384	chr1:44436638-44438006
CAS	chr1:-:DSTYK:CAS:0	chr1	-	205119808:205119922	205117333:205117467	205111631:205116873	N/A	NM_199462,NM_015375	chr1:205111631-205119922
CAS	chr1:+:DTL:CAS:0	chr1	+	212208895:212209284	212216335:212216460	212218002:212218100	N/A	NM_001286229,NM_016448;NM_001286230,NM_016448	chr1:212208895-212218100
CAS	chr1:+:DTL:CAS:1	chr1	+	212240154:212240227	212241566:212241669	212241941:212242045	N/A	NM_001286229,NM_001286230;NM_001286229,NM_016448	chr1:212240154-212242045
CAS	chr1:+:DYRK3:CAS:0	chr1	+	206808881:206809125	206810220:206810313	206810995:206811106	N/A	NM_003582,NM_001004023	chr1:206808881-206811106
CAS	chr1:-:ECHDC2:CAS:0	chr1	-	53370318:53370505	53364846:53364896	53363109:53363156	N/A	NM_001198962,NM_001198961;NM_001198962,NM_018281	chr1:53363109-53370505
CAS	chr1:-:ECHDC2:CAS:1	chr1	-	53373540:53373626	53372191:53372283	53370706:53370762	N/A	NM_001198962,NM_001198961;NM_018281,NM_001198961	chr1:53370706-53373626
CAS	chr1:+:ECM1:CAS:0	chr1	+	150483352:150483674	150483933:150484307	150484828:150485048	N/A	NM_022664,NM_001202858;NM_022664,NM_004425	chr1:150483352-150485048
CAS	chr1:+:EFCAB14-AS1:CAS:0	chr1	+	47139708:47139891	47147853:47147936	47152345:47152435	N/A	NR_038828,NR_038827	chr1:47139708-47152435
CAS	chr1:+:EFNA1:CAS:0	chr1	+	155103815:155104110	155105979:155106044	155106206:155106256	N/A	NM_182685,NM_004428	chr1:155103815-155106256
CAS	chr1:-:EMC1:CAS:0	chr1	-	19571400:19571524	19570444:19570509	19570108:19570201	N/A	NM_001271429,NM_001271427;NM_001271429,NM_001271428;NM_001271429,NM_015047	chr1:19570108-19571524
CAS	chr1:-:ENAH:CAS:0	chr1	-	225695653:225695719	225692693:225692755	225688694:225688772	N/A	NM_018212,NM_001008493	chr1:225688694-225695719
CAS	chr1:+:EPB41:CAS:0	chr1	+	29319842:29320054	29323727:29323831	29338377:29338419	N/A	NM_203343,NM_001166005;NM_203343,NM_001166006;NM_203343,NM_001166007;NM_203343,NM_004437;NM_203343,NM_203342	chr1:29319842-29338419
CAS	chr1:+:EXO1:CAS:0	chr1	+	242012033:242012329	242012414:242012518	242013711:242013888	N/A	NM_003686,NM_130398;NM_006027,NM_130398	chr1:242012033-242013888
CAS	chr1:-:EXOSC10:CAS:0	chr1	-	11134288:11134383	11133991:11134065	11132144:11132228	N/A	NM_002685,NM_001001998	chr1:11132144-11134383
CAS	chr1:-:EYA3:CAS:0	chr1	-	28326471:28326560	28324795:28324862	28323831:28323889	N/A	NM_001282560,NR_104214;NM_001282561,NR_104214;NM_001282562,NR_104214;NM_001990,NR_104214	chr1:28323831-28326560
CAS	chr1:-:EYA3:CAS:1	chr1	-	28362055:28362191	28354300:28354437	28343665:28343750	N/A	NM_001282560,NM_001282562;NM_001282560,NM_001990;NM_001282560,NR_104214;NM_001282561,NM_001282562;NM_001282561,NM_001990;NM_001282561,NR_104214	chr1:28343665-28362191
CAS	chr1:-:EYA3:CAS:2	chr1	-	28374894:28374937	28369082:28369161	28365350:28365416	N/A	NM_001282562,NM_001282560;NM_001282562,NM_001282561;NM_001282562,NM_001990;NM_001282562,NR_104214	chr1:28365350-28374937
CAS	chr1:-:F3:CAS:0	chr1	-	94998646:94998824	94997877:94998036	94994732:94996152	N/A	NM_001178096,NM_001993	chr1:94994732-94998824
CAS	chr1:-:FAIM3:CAS:0	chr1	-	207085075:207085297	207083555:207083685	207083070:207083213	N/A	NM_001193338,NM_001142473;NM_001193338,NM_005449	chr1:207083070-207085297
CAS	chr1:+:FAM212B-AS1:CAS:0	chr1	+	112282463:112282699	112286997:112287151	112288682:112290420	N/A	NR_038952,NR_038951	chr1:112282463-112290420
CAS	chr1:+:FAM76A:CAS:0	chr1	+	28053983:28054047	28056743:28056844	28059114:28059168	N/A	NM_001143914,NM_001143912;NM_001143914,NM_001143913;NM_001143915,NM_001143912;NM_001143915,NM_001143913;NM_152660,NM_001143912;NM_152660,NM_001143913	chr1:28053983-28059168
CAS	chr1:+:FAM76A:CAS:1	chr1	+	28059114:28059168	28060542:28060694	28071165:28071322	N/A	NM_001143915,NM_001143912;NM_001143915,NM_001143913;NM_001143915,NM_001143914;NM_001143915,NM_152660	chr1:28059114-28071322
CAS	chr1:+:FAM76A:CAS:2	chr1	+	28071165:28071322	28075579:28075665	28081706:28081841	N/A	NM_001143913,NM_001143912;NM_001143913,NM_152660;NM_001143914,NM_001143912;NM_001143914,NM_152660;NM_001143915,NM_001143912;NM_001143915,NM_152660	chr1:28071165-28081841
CAS	chr1:-:FCAMR:CAS:0	chr1	-	207135558:207135896	207133767:207134568	207133024:207133142	N/A	NM_001122979,NM_001170631;NM_032029,NM_001170631	chr1:207133024-207135896
CAS	chr1:+:FCGR2B:CAS:0	chr1	+	161643750:161643863	161645047:161645103	161647118:161647155	N/A	NM_001002273,NM_001002275;NM_001002273,NM_001190828;NM_001002273,NM_004001;NM_001002274,NM_001002275;NM_001002274,NM_001190828;NM_001002274,NM_004001	chr1:161643750-161647155
CAS	chr1:-:FCN3:CAS:0	chr1	-	27700456:27700500	27699979:27700011	27699627:27699754	N/A	NM_173452,NM_003665	chr1:27699627-27700500
CAS	chr1:-:FCRL1:CAS:0	chr1	-	157771705:157771983	157771251:157771367	157769848:157769875	N/A	NM_001159397,NM_001159398;NM_001159397,NM_052938	chr1:157769848-157771983
CAS	chr1:+:FCRLB:CAS:0	chr1	+	161692443:161692493	161692779:161692799	161693157:161693411	N/A	NM_001288830,NM_001002901;NM_001288830,NM_001288829;NM_001288830,NM_001288831;NM_001288832,NM_001002901;NM_001288832,NM_001288829;NM_001288832,NM_001288831	chr1:161692443-161693411
CAS	chr1:+:FGGY:CAS:0	chr1	+	60103900:60104047	60106952:60107023	60125891:60125965	N/A	NM_001244714,NM_001113411;NM_001278224,NM_001113411;NM_018291,NM_001113411;NR_103473,NM_001113411	chr1:60103900-60125965
CAS	chr1:-:FHL3:CAS:0	chr1	-	38471029:38471187	38464929:38465104	38464646:38464820	N/A	NM_001243878,NM_004468	chr1:38464646-38471187
CAS	chr1:-:FMO5:CAS:0	chr1	-	146680414:146680613	146672734:146673086	146661756:146661828	N/A	NM_001144830,NM_001144829;NM_001144830,NM_001461	chr1:146661756-146680613
CAS	chr1:-:FMOD:CAS:0	chr1	-	203320161:203320557	203316420:203317405	203309749:203311622	N/A	NR_103757,NM_002023	chr1:203309749-203320557
CAS	chr1:-:FOXJ3:CAS:0	chr1	-	42693554:42693637	42671433:42671534	42664773:42664901	N/A	NM_001198852,NM_001198850;NM_001198852,NM_001198851;NM_001198852,NM_014947	chr1:42664773-42693637
CAS	chr1:-:GBA:CAS:0	chr1	-	155209677:155209868	155209407:155209553	155208308:155208441	N/A	NM_001171812,NM_000157;NM_001171812,NM_001005741;NM_001171812,NM_001005742;NM_001171812,NM_001171811	chr1:155208308-155209868
CAS	chr1:-:GBP5:CAS:0	chr1	-	89738135:89738544	89736438:89736545	89735049:89735257	N/A	NM_001134486,NM_052942	chr1:89735049-89738544
CAS	chr1:-:GNB1:CAS:0	chr1	-	1822259:1822556	1770629:1770677	1756836:1756938	N/A	NM_001282539,NM_001282538;NM_001282539,NM_002074	chr1:1756836-1822556
CAS	chr1:-:GPR89A:CAS:0	chr1	-	145826888:145827103	145822814:145822859	145818767:145818826	N/A	NM_001097612,NM_001097613;NR_036541,NM_001097613	chr1:145818767-145827103
CAS	chr1:+:GSTM1:CAS:0	chr1	+	110232893:110232988	110233076:110233186	110235828:110236367	N/A	NM_146421,NM_000561	chr1:110232893-110236367
CAS	chr1:-:GSTM3:CAS:0	chr1	-	110282862:110283133	110282455:110282530	110282051:110282115	N/A	NR_024537,NM_000849	chr1:110282051-110283133
CAS	chr1:+:GSTM4:CAS:0	chr1	+	110199837:110199901	110200212:110200293	110200394:110200494	N/A	NR_024538,NM_000850;NR_024538,NM_147148	chr1:110199837-110200494
CAS	chr1:+:GUK1:CAS:0	chr1	+	228335316:228335400	228336072:228336157	228336366:228336655	N/A	NM_001242840,NM_000858;NM_001242840,NM_001159390;NM_001242840,NM_001159391;NM_001242840,NM_001242839	chr1:228335316-228336655
CAS	chr1:+:HAO2:CAS:0	chr1	+	119911402:119911525	119923127:119923346	119923701:119923839	N/A	NM_016527,NM_001005783	chr1:119911402-119923839
CAS	chr1:+:HHLA3:CAS:0	chr1	+	70832127:70832220	70832616:70832667	70833300:70833705	N/A	NM_001031693,NR_027404;NM_001036645,NR_027404;NM_001036646,NR_027404	chr1:70832127-70833705
CAS	chr1:-:HMGCS2:CAS:0	chr1	-	120306795:120307249	120302487:120302612	120301741:120301905	N/A	NM_001166107,NM_005518	chr1:120301741-120307249
CAS	chr1:-:HNRNPR:CAS:0	chr1	-	23670704:23670857	23667345:23667510	23664983:23665101	N/A	NM_001102397,NM_001102398;NM_001102397,NM_001297620;NM_001102397,NM_005826;NM_001102399,NM_001102398;NM_001102399,NM_001297620;NM_001102399,NM_005826;NM_001297621,NM_001102398;NM_001297621,NM_001297620;NM_001297621,NM_005826;NM_001297622,NM_001102398;NM_001297622,NM_001297620;NM_001297622,NM_005826	chr1:23664983-23670857
CAS	chr1:-:HORMAD1:CAS:0	chr1	-	150686561:150686597	150684309:150684329	150684021:150684047	N/A	NM_001199829,NM_032132	chr1:150684021-150686597
CAS	chr1:-:HPCAL4:CAS:0	chr1	-	40150114:40150283	40149609:40149824	40144320:40148405	N/A	NM_001282397,NM_001282396;NM_001282397,NM_016257	chr1:40144320-40150283
CAS	chr1:+:IFI16:CAS:0	chr1	+	158985662:158985777	158986323:158986490	158988019:158988441	N/A	NM_001206567,NM_005531	chr1:158985662-158988441
CAS	chr1:+:IFI16:CAS:1	chr1	+	159002314:159002481	159015087:159015254	159019222:159019389	N/A	NM_005531,NM_001206567	chr1:159002314-159019389
CAS	chr1:-:IGSF3:CAS:0	chr1	-	117150564:117150953	117149114:117149173	117146246:117146647	N/A	NM_001007237,NM_001542	chr1:117146246-117150953
CAS	chr1:+:IKBKE:CAS:0	chr1	+	206644499:206644588	206646539:206646657	206647674:206647814	N/A	NM_001193321,NM_001193322;NM_001193321,NM_014002	chr1:206644499-206647814
CAS	chr1:+:IKBKE:CAS:1	chr1	+	206666356:206666452	206666599:206666711	206667253:206667324	N/A	NM_001193322,NM_001193321;NM_001193322,NM_014002	chr1:206666356-206667324
