##event_type	event_id	chr	strand	e1	e2	e3	e4	alt_transcript_supports	event_coordinate
CAS	chr1:-:AK2:CAS:0	chr1	-	33502337:33502512	33497145:33497262	33490043:33490168	N/A	NM_001199199,NR_037591;NM_001199199,NR_037592;NM_001625,NR_037591;NM_001625,NR_037592;NM_013411,NR_037591;NM_013411,NR_037592	chr1:33490043-33502512
A5SS	chr1:-:AK2:A5SS:0	chr1	-	33486992:33487062	33486968:33487062	33480123:33480195	N/A	NM_001199199,NM_001625;NM_001199199,NM_013411;NM_001199199,NR_037591;NM_001199199,NR_037592	chr1:33480123-33487062
AFE	chr1:+:AK4:AFE:0	chr1	+	65613232:65613348	65613513:65613740	65613961:65614235	N/A	NM_203464,NM_001005353	chr1:65613232-65614235
CAS	chr1:+:AKIRIN1:CAS:0	chr1	+	39463843:39463983	39466644:39466778	39469019:39469090	N/A	NM_001136275,NM_024595	chr1:39463843-39469090
CAS	chr1:-:AKNAD1:CAS:0	chr1	-	109365992:109366099	109363167:109363248	109359670:109359799	N/A	NR_049760,NM_152763	chr1:109359670-109366099
AFE	chr1:-:ALDH4A1:AFE:0	chr1	-	19228956:19229293	19217188:19217385	19216506:19216599	N/A	NM_003748,NM_001161504;NM_170726,NM_001161504	chr1:19216506-19229293
CAS	chr1:+:ALPL:CAS:0	chr1	+	21835858:21836010	21880471:21880635	21887119:21887238	N/A	NM_001127501,NM_000478;NM_001177520,NM_000478	chr1:21835858-21887238
CAS	chr1:+:ALPL:CAS:1	chr1	+	21887119:21887238	21887590:21887705	21889603:21889777	N/A	NM_001177520,NM_000478;NM_001177520,NM_001127501	chr1:21887119-21889777
CAS	chr1:-:AMPD1:CAS:0	chr1	-	115238071:115238239	115236057:115236068	115231182:115231362	N/A	NM_001172626,NM_000036	chr1:115231182-115238239
AFE	chr1:+:AMPD2:AFE:0	chr1	+	110162435:110162900	110163203:110163888	110167925:110168055	N/A	NM_139156,NM_004037	chr1:110162435-110168055
AFE	chr1:+:AMPD2:AFE:1	chr1	+	110162435:110162900	110166610:110166711	110167925:110168055	N/A	NM_139156,NM_001257361	chr1:110162435-110168055
AFE	chr1:+:AMPD2:AFE:2	chr1	+	110163203:110163888	110166610:110166711	110167925:110168055	N/A	NM_004037,NM_001257361	chr1:110163203-110168055
A5SS	chr1:-:ANKRD65:A5SS:0	chr1	-	1356196:1356385	1356177:1356385	1353800:1354929	N/A	NM_001243536,NM_001243535	chr1:1353800-1356385
AFE	chr1:-:ANP32E:AFE:0	chr1	-	150208081:150208504	150206927:150207026	150204115:150204264	N/A	NM_001136478,NM_001136479;NM_001280559,NM_001136479;NM_001280560,NM_001136479;NM_030920,NM_001136479	chr1:150204115-150208504
A3SS	chr1:-:AP4B1:A3SS:0	chr1	-	114447227:114447415	114445260:114445484	114445260:114445356	N/A	NM_001253853,NM_006594	chr1:114445260-114447415
A3SS	chr1:-:APH1A:A3SS:0	chr1	-	150241098:150241609	150240357:150240527	150240357:150240391	N/A	NM_001243772,NM_001077628;NM_001243772,NM_016022;NM_001243772,NR_045035;NR_045033,NM_001077628;NR_045033,NM_016022;NR_045033,NR_045035	chr1:150240357-150241609
AFE	chr1:+:APITD1:AFE:0	chr1	+	10490159:10490625	10490804:10491458	10493899:10494022	N/A	NM_199294,NR_036462	chr1:10490159-10494022
AFE	chr1:+:ARF1:AFE:0	chr1	+	228270361:228270466	228270851:228271053	228284779:228284963	N/A	NM_001658,NM_001024228	chr1:228270361-228284963
AFE	chr1:+:ARF1:AFE:1	chr1	+	228270361:228270466	228270851:228271075	228284779:228284963	N/A	NM_001658,NM_001024227	chr1:228270361-228284963
AFE	chr1:+:ARF1:AFE:2	chr1	+	228270361:228270551	228270851:228271053	228284779:228284963	N/A	NM_001024226,NM_001024228	chr1:228270361-228284963
AFE	chr1:+:ARF1:AFE:3	chr1	+	228270361:228270551	228270851:228271075	228284779:228284963	N/A	NM_001024226,NM_001024227	chr1:228270361-228284963
CAS	chr1:+:ARHGEF10L:CAS:0	chr1	+	17934297:17934472	17939553:17939669	17942589:17942697	N/A	NM_001011722,NM_018125	chr1:17934297-17942697
CAS	chr1:-:ARHGEF11:CAS:0	chr1	-	156946775:156946846	156941489:156941608	156939790:156939835	N/A	NM_014784,NM_198236	chr1:156939790-156946846
A3SS	chr1:-:ARHGEF2:A3SS:0	chr1	-	155935094:155935203	155934779:155934922	155934779:155934919	N/A	NM_001162384,NM_001162383;NM_004723,NM_001162383	chr1:155934779-155935203
AFE	chr1:-:ARHGEF2:AFE:0	chr1	-	155948156:155948336	155947858:155947966	155938947:155939091	N/A	NM_001162383,NM_004723;NM_001162384,NM_004723	chr1:155938947-155948336
A3SS	chr1:+:ARID1A:A3SS:0	chr1	+	27100293:27100389	27100820:27101711	27101471:27101711	N/A	NM_139135,NM_006015	chr1:27100293-27101711
CAS	chr1:-:ARID4B:CAS:0	chr1	-	235383108:235383283	235377084:235377341	235359346:235359430	N/A	NM_031371,NM_001206794;NM_031371,NM_016374	chr1:235359346-235383283
AFE	chr1:-:ARID4B:AFE:0	chr1	-	235491084:235491532	235490475:235490802	235490229:235490283	N/A	NM_016374,NM_001206794;NM_031371,NM_001206794	chr1:235490229-235491532
CAS	chr1:-:ARL8A:CAS:0	chr1	-	202104835:202104928	202104587:202104654	202104278:202104348	N/A	NM_001256129,NM_138795	chr1:202104278-202104928
CAS	chr1:-:ARNT:CAS:0	chr1	-	150818739:150818783	150814900:150814944	150811917:150812130	N/A	NM_001197325,NM_001286035;NM_001197325,NM_001286036;NM_001197325,NM_001668;NM_178427,NM_001286035;NM_178427,NM_001286036;NM_178427,NM_001668	chr1:150811917-150818783
CAS	chr1:-:ARNT:CAS:1	chr1	-	150849019:150849244	150833723:150833778	150830825:150830936	N/A	NM_001197325,NM_001286035;NM_001286036,NM_001286035;NM_001668,NM_001286035;NM_178427,NM_001286035	chr1:150830825-150849244
A3SS	chr1:-:ARNT:A3SS:0	chr1	-	150788735:150788882	150786553:150786715	150786553:150786712	N/A	NM_001197325,NM_001286035;NM_001197325,NM_001668;NM_001197325,NM_178427	chr1:150786553-150788882
A3SS	chr1:-:ARNT:A3SS:1	chr1	-	150789264:150789366	150788735:150788882	150788735:150788876	N/A	NM_001286036,NM_001197325;NM_001286036,NM_001286035;NM_001286036,NM_001668;NM_001286036,NM_178427	chr1:150788735-150789366
A3SS	chr1:-:ARNT:A3SS:2	chr1	-	150804294:150804379	150802380:150802456	150802380:150802441	N/A	NM_001286035,NM_001197325;NM_001286035,NM_001286036;NM_001286035,NM_001668;NM_001286035,NM_178427	chr1:150802380-150804379
A3SS	chr1:-:ARPC5:A3SS:0	chr1	-	183604652:183605076	183602217:183602298	183602217:183602289	N/A	NM_005717,NM_001270439	chr1:183602217-183605076
CAS	chr1:+:ARTN:CAS:0	chr1	+	44398992:44399557	44399784:44399932	44401262:44401388	N/A	NM_001136215,NM_057090;NM_001136215,NM_057091	chr1:44398992-44401388
A3SS	chr1:+:ARTN:A3SS:0	chr1	+	44401262:44401388	44401741:44401903	44401765:44401903	N/A	NM_057091,NM_001136215;NM_057091,NM_057090	chr1:44401262-44401903
A3SS	chr1:-:ASB17:A3SS:0	chr1	-	76397576:76398116	76387765:76388044	76387765:76387982	N/A	NR_026546,NM_080868	chr1:76387765-76398116
CAS	chr1:-:ASPM:CAS:0	chr1	-	197086919:197087113	197069561:197074315	197065128:197065294	N/A	NM_001206846,NM_018136	chr1:197065128-197087113
ALE	chr1:-:ASTN1:ALE:0	chr1	-	176837980:176838163	176830200:176833657	176826441:176826786	N/A	NM_001286164,NM_004319	chr1:176826441-176838163
A3SS	chr1:+:ATAD3A:A3SS:0	chr1	+	1451392:1451468	1452547:1452792	1452691:1452792	N/A	NM_001170535,NM_018188;NM_001170536,NM_018188	chr1:1451392-1452792
AFE	chr1:+:ATAD3A:AFE:0	chr1	+	1447523:1447853	1447910:1448070	1451392:1451468	N/A	NM_001170535,NM_001170536;NM_018188,NM_001170536	chr1:1447523-1451468
A3SS	chr1:+:ATF3:A3SS:0	chr1	+	212781970:212782272	212788360:212788603	212788383:212788603	N/A	NM_001206488,NM_001040619;NM_001206488,NM_001674	chr1:212781970-212788603
AFE	chr1:+:ATF3:AFE:0	chr1	+	212738676:212738825	212781970:212782272	212788360:212788603	N/A	NM_001030287,NM_001040619;NM_001030287,NM_001674	chr1:212738676-212788603
CAS	chr1:-:ATP13A2:CAS:0	chr1	-	17313300:17313451	17312958:17313127	17312453:17312853	N/A	NM_001141974,NM_001141973;NM_001141974,NM_022089	chr1:17312453-17313451
CAS	chr1:-:ATP13A2:CAS:1	chr1	-	17316622:17316782	17316382:17316498	17316186:17316265	N/A	NM_001141974,NM_001141973;NM_001141974,NM_022089	chr1:17316186-17316782
A5SS	chr1:-:ATP13A2:A5SS:0	chr1	-	17331202:17331316	17331187:17331316	17330827:17330906	N/A	NM_001141973,NM_022089;NM_001141974,NM_022089	chr1:17330827-17331316
AFE	chr1:+:ATP1A1:AFE:0	chr1	+	116915795:116916145	116916489:116916863	116926636:116926746	N/A	NM_000701,NM_001160233	chr1:116915795-116926746
AFE	chr1:+:ATP1A1:AFE:1	chr1	+	116915795:116916145	116925992:116926175	116926636:116926746	N/A	NM_000701,NM_001160234	chr1:116915795-116926746
AFE	chr1:+:ATP1A1:AFE:2	chr1	+	116916489:116916863	116925992:116926175	116926636:116926746	N/A	NM_001160233,NM_001160234	chr1:116916489-116926746
ALE	chr1:-:ATP1A1-AS1:ALE:0	chr1	-	116943518:116943753	116941622:116941936	116935487:116935648	N/A	NR_027646,NR_027645	chr1:116935487-116943753
CAS	chr1:+:ATP2B4:CAS:0	chr1	+	203696523:203696699	203702351:203702528	203708674:203713209	N/A	NM_001684,NM_001001396	chr1:203696523-203713209
CAS	chr1:+:ATP6V0B:CAS:0	chr1	+	44440320:44440779	44441472:44441520	44441762:44441845	N/A	NM_001039457,NM_001294333;NM_001039457,NM_004047	chr1:44440320-44441845
CAS	chr1:-:ATP6V1G3:CAS:0	chr1	-	198509699:198509815	198505809:198505854	198498211:198498311	N/A	NM_133262,NM_133326	chr1:198498211-198509815
AFE	chr1:+:ATP8B2:AFE:0	chr1	+	154298036:154298178	154300276:154300337	154300581:154300648	N/A	NM_001005855,NM_020452	chr1:154298036-154300648
CAS	chr1:-:ATPAF1:CAS:0	chr1	-	47130928:47131036	47129505:47129595	47124359:47124409	N/A	NM_001042546,NM_001256418;NM_001243728,NM_001256418;NM_022745,NM_001256418	chr1:47124359-47131036
AFE	chr1:-:ATPAF1:AFE:0	chr1	-	47133729:47134099	47131319:47131550	47130928:47131036	N/A	NM_001042546,NM_001243728;NM_001042546,NM_001256418;NM_022745,NM_001243728;NM_022745,NM_001256418	chr1:47130928-47134099
CAS	chr1:+:AXDND1:CAS:0	chr1	+	179401402:179401477	179414105:179414339	179437578:179437776	N/A	NR_073544,NM_144696	chr1:179401402-179437776
CAS	chr1:+:AXDND1:CAS:1	chr1	+	179461990:179462086	179475968:179476061	179478431:179478538	N/A	NM_144696,NR_073544	chr1:179461990-179478538
A3SS	chr1:+:AZIN2:A3SS:0	chr1	+	33546714:33546895	33546989:33547109	33546992:33547109	N/A	NM_001293562,NM_052998	chr1:33546714-33547109
CAS	chr1:-:B3GALNT2:CAS:0	chr1	-	235667441:235667781	235659496:235659618	235657991:235658138	N/A	NM_152490,NM_001277155	chr1:235657991-235667781
AFE	chr1:+:B4GALT2:AFE:0	chr1	+	44444874:44445183	44445608:44445718	44446781:44447145	N/A	NM_003780,NM_030587	chr1:44444874-44447145
AFE	chr1:+:B4GALT2:AFE:1	chr1	+	44444874:44445183	44446177:44446286	44446781:44447145	N/A	NM_003780,NM_001005417	chr1:44444874-44447145
AFE	chr1:+:B4GALT2:AFE:2	chr1	+	44445608:44445718	44446177:44446286	44446781:44447145	N/A	NM_030587,NM_001005417	chr1:44445608-44447145
A3SS	chr1:-:B4GALT3:A3SS:0	chr1	-	161146224:161146369	161145598:161145885	161145598:161145864	N/A	NM_003779,NM_001199873	chr1:161145598-161146369
A3SS	chr1:-:B4GALT3:A3SS:1	chr1	-	161147213:161147758	161146224:161146369	161146224:161146298	N/A	NM_001199874,NM_001199873;NM_001199874,NM_003779	chr1:161146224-161147758
CAS	chr1:-:BAI2:CAS:0	chr1	-	32201181:32201266	32200784:32200882	32198573:32198744	N/A	NM_001294336,NM_001294335	chr1:32198573-32201266
AFE	chr1:-:BCAR3:AFE:0	chr1	-	94147154:94147394	94146663:94146926	94140170:94140497	N/A	NM_003567,NM_001261409	chr1:94140170-94147394
A3SS	chr1:+:BNIPL:A3SS:0	chr1	+	151009029:151009242	151009791:151010138	151010043:151010138	N/A	NM_138278,NM_001159642	chr1:151009029-151010138
CAS	chr1:-:BPNT1:CAS:0	chr1	-	220247309:220247413	220246192:220246299	220242726:220242774	N/A	NM_001286150,NM_001286149;NM_001286150,NM_001286151;NM_001286150,NM_006085	chr1:220242726-220247413
A5SS	chr1:+:BRDT:A5SS:0	chr1	+	92433703:92433817	92433703:92433829	92441823:92441995	N/A	NM_001242805,NM_001242806;NM_001242807,NM_001242806;NM_001242808,NM_001242806;NM_001242810,NM_001242806;NM_001726,NM_001242806;NM_207189,NM_001242806	chr1:92433703-92441995
AFE	chr1:+:BRDT:AFE:0	chr1	+	92414928:92415045	92417709:92417815	92428275:92428503	N/A	NM_001242807,NM_001726	chr1:92414928-92428503
AFE	chr1:+:BRDT:AFE:1	chr1	+	92414928:92415239	92417709:92417815	92428275:92428503	N/A	NM_001242806,NM_001726;NM_001242808,NM_001726;NM_207189,NM_001726	chr1:92414928-92428503
AFE	chr1:+:BROX:AFE:0	chr1	+	222885895:222886284	222886663:222886758	222889026:222889142	N/A	NM_001288579,NM_001288580;NM_001288579,NM_001288581;NM_144695,NM_001288580;NM_144695,NM_001288581	chr1:222885895-222889142
A3SS	chr1:-:BSDC1:A3SS:0	chr1	-	32852380:32852496	32849431:32849649	32849431:32849598	N/A	NM_018045,NM_001143888	chr1:32849431-32852496
CAS	chr1:+:BTF3L4:CAS:0	chr1	+	52521857:52522051	52525507:52525573	52530497:52530610	N/A	NM_001136497,NM_001243767;NM_001136497,NM_152265	chr1:52521857-52530610
CAS	chr1:+:BTF3L4:CAS:1	chr1	+	52530497:52530610	52549012:52549213	52551784:52551843	N/A	NM_001243767,NM_001136497;NM_001243767,NM_152265	chr1:52530497-52551843
A3SS	chr1:+:C1orf100:A3SS:0	chr1	+	244538674:244538769	244541769:244541941	244541865:244541941	N/A	NM_001276348,NM_001012970	chr1:244538674-244541941
CAS	chr1:+:C1orf101:CAS:0	chr1	+	244624673:244624796	244627210:244627258	244640843:244640916	N/A	NM_001242340,NM_001130957;NM_001242340,NM_173807	chr1:244624673-244640916
CAS	chr1:+:C1orf101:CAS:1	chr1	+	244773542:244773628	244780831:244780988	244798791:244798844	N/A	NM_173807,NM_001130957;NM_173807,NM_001242340	chr1:244773542-244798844
AFE	chr1:+:C1orf106:AFE:0	chr1	+	200860627:200860829	200863949:200864215	200867435:200867583	N/A	NM_018265,NM_001142569	chr1:200860627-200867583
CAS	chr1:-:C1orf116:CAS:0	chr1	-	207205924:207206101	207200839:207201024	207198232:207198409	N/A	NM_001083924,NM_023938	chr1:207198232-207206101
CAS	chr1:-:C1orf141:CAS:0	chr1	-	67561935:67562004	67560918:67561104	67557859:67559287	N/A	NM_001276352,NM_001276351;NR_075077,NM_001276351	chr1:67557859-67562004
CAS	chr1:+:C1orf177:CAS:0	chr1	+	55282662:55282795	55307289:55307375	55307474:55307937	N/A	NM_001110533,NM_152607	chr1:55282662-55307937
ALE	chr1:-:C1orf195:ALE:0	chr1	-	15497677:15497811	15494970:15495273	15490692:15490957	N/A	NM_001278502,NM_001278501	chr1:15490692-15497811
AFE	chr1:-:C1orf198:AFE:0	chr1	-	231003926:231004302	230991624:230991782	230991414:230991464	N/A	NM_032800,NM_001136495	chr1:230991414-231004302
CAS	chr1:+:C1orf27:CAS:0	chr1	+	186352154:186352288	186355120:186355215	186357574:186357680	N/A	NM_001164246,NM_001164245;NM_001164246,NM_017847	chr1:186352154-186357680
CAS	chr1:+:C1orf27:CAS:1	chr1	+	186360828:186360923	186363079:186363147	186367445:186367573	N/A	NM_001164245,NM_001164246;NM_001164245,NM_017847	chr1:186360828-186367573
CAS	chr1:-:C1orf43:CAS:0	chr1	-	154186933:154187050	154186369:154186422	154184934:154185100	N/A	NM_138740,NM_001098616;NM_138740,NM_015449	chr1:154184934-154187050
CAS	chr1:-:C1orf43:CAS:1	chr1	-	154192818:154193273	154192312:154192413	154186933:154187050	N/A	NM_015449,NM_001098616;NM_138740,NM_001098616	chr1:154186933-154193273
CAS	chr1:+:C1orf50:CAS:0	chr1	+	43232916:43233061	43233180:43233295	43239234:43239320	N/A	NR_040733,NM_024097	chr1:43232916-43239320
CAS	chr1:-:C1orf52:CAS:0	chr1	-	85725041:85725355	85724618:85724744	85724207:85724405	N/A	NM_198077,NR_024113	chr1:85724207-85725355
A3SS	chr1:-:C1orf85:A3SS:0	chr1	-	156263809:156264027	156263111:156263367	156263111:156263220	N/A	NM_001256604,NM_001256605;NM_001256604,NM_001256609;NM_001256604,NM_144580	chr1:156263111-156264027
A5SS	chr1:-:C1orf86:A5SS:0	chr1	-	2132489:2132664	2130193:2132664	2129446:2129581	N/A	NM_001146310,NM_001282670	chr1:2129446-2132664
ALE	chr1:-:C1orf86:ALE:0	chr1	-	2125078:2125349	2120988:2121220	2115899:2116952	N/A	NM_001146310,NM_001256947;NM_001146310,NM_001282670;NM_001146310,NM_182533;NM_001256945,NM_001256947;NM_001256945,NM_001282670;NM_001256945,NM_182533;NM_001282673,NM_001256947;NM_001282673,NM_001282670;NM_001282673,NM_182533	chr1:2115899-2125349
ALE	chr1:-:C1orf86:ALE:1	chr1	-	2125078:2125349	2123334:2124414	2115899:2116952	N/A	NM_001146310,NM_001256946;NM_001256945,NM_001256946;NM_001282673,NM_001256946	chr1:2115899-2125349
ALE	chr1:-:C1orf86:ALE:2	chr1	-	2125078:2125349	2123334:2124414	2120988:2121220	N/A	NM_001256947,NM_001256946;NM_001282670,NM_001256946;NM_182533,NM_001256946	chr1:2120988-2125349
AFE	chr1:+:C1orf94:AFE:0	chr1	+	34632484:34632772	34642553:34643710	34662826:34663514	N/A	NM_032884,NM_001134734	chr1:34632484-34663514
A3SS	chr1:+:C4BPB:A3SS:0	chr1	+	207262584:207262934	207263653:207263826	207263656:207263826	N/A	NM_001017364,NM_000716	chr1:207262584-207263826
A3SS	chr1:+:C4BPB:A3SS:1	chr1	+	207262827:207262934	207263653:207263826	207263656:207263826	N/A	NM_001017366,NM_001017365;NM_001017366,NM_001017367	chr1:207262827-207263826
AFE	chr1:+:C4BPB:AFE:0	chr1	+	207262212:207262291	207262628:207262706	207262827:207262934	N/A	NM_001017365,NM_001017367;NM_001017366,NM_001017367	chr1:207262212-207262934
CAS	chr1:-:C8B:CAS:0	chr1	-	57425693:57425849	57425202:57425330	57422442:57422583	N/A	NM_000066,NM_001278544;NM_001278543,NM_001278544	chr1:57422442-57425849
CAS	chr1:-:C8B:CAS:1	chr1	-	57431530:57431813	57429445:57429666	57425693:57425849	N/A	NM_000066,NM_001278543;NM_001278544,NM_001278543	chr1:57425693-57431813
ALE	chr1:+:CA6:ALE:0	chr1	+	9030926:9031040	9034406:9034503	9034681:9035148	N/A	NM_001215,NM_001270500;NM_001270501,NM_001270500;NM_001270502,NM_001270500	chr1:9030926-9035148
CAS	chr1:+:CACHD1:CAS:0	chr1	+	65095038:65095164	65098282:65098426	65099727:65099943	N/A	NM_001293274,NM_020925	chr1:65095038-65099943
AFE	chr1:+:CACHD1:AFE:0	chr1	+	64936476:64936625	64971597:64972170	65016277:65016339	N/A	NM_020925,NM_001293274	chr1:64936476-65016339
CAS	chr1:+:CACNA1E:CAS:0	chr1	+	181695201:181695298	181700311:181700367	181701520:181702170	N/A	NM_001205294,NM_000721;NM_001205294,NM_001205293	chr1:181695201-181702170
CAS	chr1:+:CACNA1E:CAS:1	chr1	+	181759581:181759692	181762801:181762929	181764000:181764180	N/A	NM_000721,NM_001205293;NM_001205294,NM_001205293	chr1:181759581-181764180
AFE	chr1:+:CACYBP:AFE:0	chr1	+	174968571:174968825	174968892:174969331	174973750:174973969	N/A	NM_001007214,NM_014412	chr1:174968571-174973969
CAS	chr1:+:CAMTA1:CAS:0	chr1	+	6845384:6845635	6880241:6880310	6885152:6885270	N/A	NR_038934,NM_001195563;NR_038934,NM_001242701;NR_038934,NM_015215	chr1:6845384-6885270
ALE	chr1:+:CAMTA1:ALE:0	chr1	+	6885152:6885270	6931817:6932107	6947714:6948261	N/A	NM_001242701,NM_001195563	chr1:6885152-6948261
